"Date","RainTomorrow"
2016-07-18,"No"
2016-07-19,"Yes"
2016-07-20,"Yes"
2016-07-21,"Yes"
2016-07-22,"Yes"
2016-07-23,"No"
2016-07-24,"Yes"
2016-07-25,"Yes"
2016-07-26,"Yes"
2016-07-27,"No"
2016-07-28,"No"
2016-07-29,"No"
2016-07-30,"Yes"
2016-07-31,"Yes"
2016-08-01,"No"
2016-08-02,"No"
2016-08-03,"No"
2016-08-04,"No"
2016-08-05,"No"
2016-08-06,"No"
2016-08-07,"No"
2016-08-08,"No"
2016-08-09,"Yes"
2016-08-10,"Yes"
2016-08-11,"No"
2016-08-12,"No"
2016-08-13,"No"
2016-08-14,"No"
2016-08-15,"No"
2016-08-16,"No"
2016-08-17,"No"
2016-08-18,"Yes"
2016-08-19,"Yes"
2016-08-20,"No"
2016-08-21,"No"
2016-08-22,"No"
2016-08-23,"No"
2016-08-24,"No"
2016-08-25,"No"
2016-08-26,"No"
2016-08-27,"No"
2016-08-28,"No"
2016-08-29,"Yes"
2016-08-30,"No"
2016-08-31,"No"
2016-01-01,"No"
2016-01-02,"No"
2016-01-03,"No"
2016-01-04,"No"
2016-01-05,"No"
2016-01-06,"No"
2016-01-07,"No"
2016-01-09,"No"
2016-01-10,"No"
2016-01-11,"No"
2016-01-12,"No"
2016-01-13,"Yes"
2016-01-14,"No"
2016-01-15,"No"
2016-01-16,"No"
2016-01-17,"No"
2016-01-18,"No"
2016-01-19,"No"
2016-01-20,"No"
2016-01-21,"Yes"
2016-01-22,"Yes"
2016-01-23,"Yes"
2016-01-24,"No"
2016-01-25,"No"
2016-01-26,"No"
2016-01-27,"No"
2016-01-28,"Yes"
2016-01-29,"No"
2016-01-30,"Yes"
2016-01-31,"Yes"
2016-02-01,"No"
2016-02-02,"Yes"
2016-02-03,"No"
2016-02-04,"No"
2016-02-05,"No"
2016-02-06,"No"
2016-02-07,"No"
2016-02-08,"No"
2016-02-09,"No"
2016-02-10,"No"
2016-02-11,"No"
2016-02-12,"No"
2016-02-13,"No"
2016-02-14,"Yes"
2016-02-15,"Yes"
2016-02-16,"No"
2016-02-17,"Yes"
2016-02-18,"Yes"
2016-02-19,"No"
2016-02-20,"No"
2016-02-21,"No"
2016-02-22,"No"
2016-02-23,"Yes"
2016-02-24,"Yes"
2016-02-25,"No"
2016-02-26,"Yes"
2016-02-27,"No"
2016-02-28,"No"
2016-02-29,"No"
2016-03-01,"No"
2016-03-02,"No"
2016-03-03,"No"
2016-03-04,"No"
2016-03-05,"No"
2016-03-06,"No"
2016-03-07,"No"
2016-03-08,"No"
2016-03-09,"No"
2016-03-10,"No"
2016-03-11,"No"
2016-03-12,"No"
2016-03-13,"Yes"
2016-03-14,"No"
2016-03-15,"No"
2016-03-16,"No"
2016-03-17,"Yes"
2016-03-18,"Yes"
2016-03-19,"No"
2016-03-20,"No"
2016-03-21,"No"
2016-03-22,"No"
2016-03-23,"No"
2016-03-24,"No"
2016-03-25,"Yes"
2016-03-26,"No"
2016-03-27,"No"
2016-03-28,"Yes"
2016-03-29,"No"
2016-03-30,"No"
2016-03-31,"No"
2016-04-01,"Yes"
2016-04-02,"No"
2016-04-03,"No"
2016-04-04,"No"
2016-04-05,"Yes"
2016-04-06,"No"
2016-04-07,"No"
2016-04-08,"No"
2016-04-09,"No"
2016-04-10,"Yes"
2016-04-11,"Yes"
2016-04-12,"Yes"
2016-04-13,"No"
2016-04-14,"No"
2016-04-15,"Yes"
2016-04-16,"No"
2016-04-17,"No"
2016-04-18,"No"
2016-04-19,"No"
2016-04-20,"No"
2016-04-21,"No"
2016-04-22,"No"
2016-04-23,"No"
2016-04-24,"No"
2016-04-25,"No"
2016-04-26,"No"
2016-04-27,"Yes"
2016-04-28,"Yes"
2016-04-29,"Yes"
2016-04-30,"Yes"
2016-05-01,"Yes"
2016-05-02,"Yes"
2016-05-03,"Yes"
2016-05-04,"No"
2016-05-05,"No"
2016-05-06,"No"
2016-05-07,"Yes"
2016-05-08,"Yes"
2016-05-09,"Yes"
2016-05-10,"Yes"
2016-05-11,"Yes"
2016-05-12,"Yes"
2016-05-13,"No"
2016-05-14,"Yes"
2016-05-15,"No"
2016-05-16,"Yes"
2016-05-17,"No"
2016-05-18,"Yes"
2016-05-19,"Yes"
2016-05-20,"No"
2016-05-21,"No"
2016-05-22,"Yes"
2016-05-23,"No"
2016-05-24,"No"
2016-05-25,"Yes"
2016-05-26,"No"
2016-05-27,"Yes"
2016-05-28,"No"
2016-05-29,"No"
2016-05-30,"No"
2016-05-31,"No"
2016-06-01,"No"
2016-06-02,"No"
2016-06-03,"No"
2016-06-04,"No"
2016-06-05,"No"
2016-06-06,"Yes"
2016-06-07,"Yes"
2016-06-08,"Yes"
2016-06-09,"Yes"
2016-06-10,"Yes"
2016-06-11,"No"
2016-06-12,"No"
2016-06-13,"No"
2016-06-14,"No"
2016-06-15,"No"
2016-06-16,"No"
2016-06-17,"Yes"
2016-06-18,"No"
2016-06-19,"No"
2016-06-20,"Yes"
2016-06-21,"Yes"
2016-06-22,"Yes"
2016-06-23,"Yes"
2016-06-24,"Yes"
2016-06-25,"No"
2016-06-26,"Yes"
2016-06-27,"No"
2016-06-28,"Yes"
2016-06-29,"Yes"
2016-06-30,"Yes"
2016-07-01,"Yes"
2016-07-02,"Yes"
2016-07-03,"Yes"
2016-07-04,"Yes"
2016-07-05,"Yes"
2016-07-06,"Yes"
2016-07-07,"Yes"
2016-07-08,"Yes"
2016-07-09,"No"
2016-07-10,"Yes"
2016-07-11,"Yes"
2016-07-12,"Yes"
2016-07-13,"Yes"
2016-07-14,"Yes"
2016-07-15,"No"
2016-07-16,"No"
2016-07-17,"No"
2016-07-18,"No"
2016-07-19,"Yes"
2016-07-20,"Yes"
2016-07-21,"Yes"
2016-07-22,"Yes"
2016-07-23,"Yes"
2016-07-24,"Yes"
2016-07-25,"Yes"
2016-07-26,"Yes"
2016-07-27,"No"
2016-07-28,"Yes"
2016-07-29,"Yes"
2016-07-30,"Yes"
2016-07-31,"No"
2016-08-01,"Yes"
2016-08-02,"No"
2016-08-03,"Yes"
2016-08-04,"No"
2016-08-05,"No"
2016-08-06,"No"
2016-08-07,"No"
2016-08-08,"No"
2016-08-09,"Yes"
2016-08-10,"Yes"
2016-08-11,"No"
2016-08-12,"Yes"
2016-08-13,"Yes"
2016-08-14,"No"
2016-08-15,"No"
2016-08-16,"Yes"
2016-08-17,"No"
2016-08-18,"Yes"
2016-08-19,"Yes"
2016-08-20,"Yes"
2016-08-21,"Yes"
2016-08-22,"No"
2016-08-23,"No"
2016-08-24,"Yes"
2016-08-25,"No"
2016-08-26,"Yes"
2016-08-27,"No"
2016-08-28,"No"
2016-08-29,"Yes"
2016-08-30,"Yes"
2016-08-31,"Yes"
2016-01-01,"No"
2016-01-02,"No"
2016-01-03,"No"
2016-01-04,"No"
2016-01-05,"No"
2016-01-06,"No"
2016-01-07,"No"
2016-01-09,"No"
2016-01-10,"No"
2016-01-11,"Yes"
2016-01-12,"No"
2016-01-13,"Yes"
2016-01-14,"No"
2016-01-15,"No"
2016-01-16,"No"
2016-01-17,"No"
2016-01-18,"No"
2016-01-19,"No"
2016-01-20,"No"
2016-01-21,"Yes"
2016-01-22,"Yes"
2016-01-24,"No"
2016-01-25,"No"
2016-01-26,"No"
2016-01-27,"No"
2016-01-28,"Yes"
2016-01-29,"Yes"
2016-01-30,"Yes"
2016-01-31,"No"
2016-02-01,"No"
2016-02-02,"Yes"
2016-02-03,"No"
2016-02-04,"No"
2016-02-05,"No"
2016-02-06,"No"
2016-02-07,"No"
2016-02-08,"No"
2016-02-09,"No"
2016-02-10,"No"
2016-02-11,"No"
2016-02-12,"No"
2016-02-13,"No"
2016-02-14,"No"
2016-02-15,"Yes"
2016-02-16,"Yes"
2016-02-17,"Yes"
2016-02-18,"No"
2016-02-19,"No"
2016-02-20,"No"
2016-02-21,"No"
2016-02-22,"No"
2016-02-23,"No"
2016-02-24,"No"
2016-02-25,"No"
2016-02-26,"No"
2016-02-27,"No"
2016-02-28,"No"
2016-02-29,"No"
2016-03-01,"No"
2016-03-02,"No"
2016-03-03,"No"
2016-03-04,"No"
2016-03-05,"No"
2016-03-06,"No"
2016-03-07,"No"
2016-03-08,"No"
2016-03-09,"No"
2016-03-10,"Yes"
2016-03-11,"No"
2016-03-12,"No"
2016-03-13,"No"
2016-03-14,"No"
2016-03-15,"No"
2016-03-16,"No"
2016-03-17,"Yes"
2016-03-18,"Yes"
2016-03-19,"No"
2016-03-20,"No"
2016-03-21,"No"
2016-03-22,"No"
2016-03-23,"No"
2016-03-24,"No"
2016-03-25,"No"
2016-03-26,"No"
2016-03-27,"No"
2016-03-28,"No"
2016-03-29,"No"
2016-03-30,"No"
2016-03-31,"No"
2016-04-01,"No"
2016-04-02,"No"
2016-04-03,"No"
2016-04-04,"No"
2016-04-05,"Yes"
2016-04-06,"Yes"
2016-04-07,"No"
2016-04-08,"No"
2016-04-09,"No"
2016-04-10,"No"
2016-04-11,"No"
2016-04-12,"No"
2016-04-13,"No"
2016-04-14,"No"
2016-04-15,"No"
2016-04-16,"No"
2016-04-17,"No"
2016-04-18,"No"
2016-04-19,"No"
2016-04-20,"No"
2016-04-21,"Yes"
2016-04-22,"No"
2016-04-23,"No"
2016-04-24,"No"
2016-04-25,"No"
2016-04-26,"No"
2016-04-27,"No"
2016-04-28,"No"
2016-04-29,"Yes"
2016-04-30,"Yes"
2016-05-01,"No"
2016-05-02,"No"
2016-05-03,"Yes"
2016-05-04,"No"
2016-05-05,"No"
2016-05-06,"No"
2016-05-07,"Yes"
2016-05-08,"Yes"
2016-05-09,"Yes"
2016-05-10,"No"
2016-05-11,"No"
2016-05-12,"No"
2016-05-13,"No"
2016-05-14,"No"
2016-05-15,"No"
2016-05-16,"No"
2016-05-17,"No"
2016-05-18,"No"
2016-05-19,"Yes"
2016-05-20,"No"
2016-05-21,"No"
2016-05-22,"Yes"
2016-05-23,"Yes"
2016-05-24,"No"
2016-05-25,"Yes"
2016-05-26,"Yes"
2016-05-27,"No"
2016-05-28,"No"
2016-05-29,"No"
2016-05-30,"No"
2016-05-31,"No"
2016-06-01,"No"
2016-06-02,"No"
2016-06-03,"Yes"
2016-06-04,"Yes"
2016-06-05,"No"
2016-06-06,"No"
2016-06-07,"Yes"
2016-06-08,"No"
2016-06-09,"No"
2016-06-10,"Yes"
2016-06-11,"No"
2016-06-12,"No"
2016-06-13,"No"
2016-06-14,"No"
2016-06-15,"No"
2016-06-16,"Yes"
2016-06-17,"Yes"
2016-06-18,"No"
2016-06-19,"Yes"
2016-06-20,"Yes"
2016-06-21,"No"
2016-06-22,"No"
2016-06-23,"Yes"
2016-06-24,"Yes"
2016-06-25,"No"
2016-06-26,"No"
2016-06-27,"Yes"
2016-06-28,"No"
2016-06-29,"No"
2016-06-30,"Yes"
2016-07-01,"No"
2016-07-02,"No"
2016-07-03,"No"
2016-07-04,"No"
2016-07-05,"Yes"
2016-07-06,"Yes"
2016-07-07,"Yes"
2016-07-08,"No"
2016-07-09,"No"
2016-07-10,"No"
2016-07-11,"No"
2016-07-12,"No"
2016-07-13,"No"
2016-07-14,"No"
2016-07-15,"No"
2016-07-16,"No"
2016-07-17,"No"
2016-07-18,"No"
2016-07-19,"No"
2016-07-20,"Yes"
2016-07-21,"Yes"
2016-07-22,"Yes"
2016-07-23,"Yes"
2016-07-24,"No"
2016-07-25,"Yes"
2016-07-26,"No"
2016-07-27,"No"
2016-07-28,"No"
2016-07-29,"Yes"
2016-07-30,"No"
2016-07-31,"Yes"
2016-08-01,"Yes"
2016-08-02,"Yes"
2016-08-03,"Yes"
2016-08-04,"No"
2016-08-05,"No"
2016-08-06,"No"
2016-08-07,"No"
2016-08-08,"No"
2016-08-09,"No"
2016-08-10,"Yes"
2016-08-11,"No"
2016-08-12,"Yes"
2016-08-13,"No"
2016-08-14,"No"
2016-08-15,"No"
2016-08-16,"No"
2016-08-17,"No"
2016-08-18,"No"
2016-08-19,"Yes"
2016-08-20,"Yes"
2016-08-21,"Yes"
2016-08-22,"Yes"
2016-08-23,"No"
2016-08-24,"Yes"
2016-08-25,"Yes"
2016-08-26,"No"
2016-08-27,"No"
2016-08-28,"No"
2016-08-29,"No"
2016-08-30,"No"
2016-08-31,"No"
2016-01-01,"No"
2016-01-02,"No"
2016-01-03,"No"
2016-01-04,"No"
2016-01-05,"No"
2016-01-06,"No"
2016-01-08,"No"
2016-01-09,"No"
2016-01-10,"No"
2016-01-11,"Yes"
2016-01-12,"No"
2016-01-13,"No"
2016-01-14,"Yes"
2016-01-15,"No"
2016-01-16,"No"
2016-01-17,"No"
2016-01-18,"No"
2016-01-19,"No"
2016-01-20,"No"
2016-01-21,"Yes"
2016-01-22,"No"
2016-01-23,"No"
2016-01-24,"No"
2016-01-25,"No"
2016-01-26,"No"
2016-01-27,"No"
2016-01-28,"Yes"
2016-01-29,"No"
2016-01-30,"Yes"
2016-01-31,"Yes"
2016-02-01,"No"
2016-02-02,"Yes"
2016-02-03,"No"
2016-02-04,"No"
2016-02-05,"No"
2016-02-06,"No"
2016-02-07,"No"
2016-02-08,"No"
2016-02-09,"No"
2016-02-10,"No"
2016-02-11,"No"
2016-02-12,"No"
2016-02-13,"No"
2016-02-14,"No"
2016-02-15,"No"
2016-02-16,"No"
2016-02-17,"No"
2016-02-18,"Yes"
2016-02-19,"No"
2016-02-20,"No"
2016-02-21,"No"
2016-02-22,"No"
2016-02-23,"Yes"
2016-02-24,"Yes"
2016-02-25,"No"
2016-02-26,"No"
2016-02-27,"No"
2016-02-28,"No"
2016-02-29,"No"
2016-03-01,"No"
2016-03-02,"No"
2016-03-03,"No"
2016-03-04,"No"
2016-03-05,"No"
2016-03-06,"No"
2016-03-07,"No"
2016-03-08,"No"
2016-03-09,"No"
2016-03-10,"No"
2016-03-11,"No"
2016-03-12,"No"
2016-03-13,"No"
2016-03-14,"No"
2016-03-15,"No"
2016-03-16,"No"
2016-03-17,"Yes"
2016-03-18,"Yes"
2016-03-19,"No"
2016-03-20,"No"
2016-03-21,"No"
2016-03-22,"No"
2016-03-23,"No"
2016-03-24,"No"
2016-03-25,"No"
2016-03-26,"No"
2016-03-27,"No"
2016-03-28,"No"
2016-03-29,"No"
2016-03-30,"No"
2016-03-31,"No"
2016-04-01,"No"
2016-04-02,"No"
2016-04-03,"No"
2016-04-04,"No"
2016-04-05,"Yes"
2016-04-06,"No"
2016-04-07,"No"
2016-04-08,"No"
2016-04-09,"Yes"
2016-04-10,"Yes"
2016-04-11,"Yes"
2016-04-12,"No"
2016-04-13,"No"
2016-04-14,"No"
2016-04-15,"No"
2016-04-16,"No"
2016-04-17,"No"
2016-04-18,"No"
2016-04-19,"No"
2016-04-20,"No"
2016-04-21,"No"
2016-04-22,"No"
2016-04-23,"No"
2016-04-24,"No"
2016-04-25,"No"
2016-04-26,"No"
2016-04-27,"Yes"
2016-04-28,"Yes"
2016-04-29,"Yes"
2016-04-30,"Yes"
2016-05-01,"Yes"
2016-05-02,"Yes"
2016-05-03,"Yes"
2016-05-04,"No"
2016-05-05,"No"
2016-05-06,"No"
2016-05-07,"Yes"
2016-05-08,"Yes"
2016-05-09,"Yes"
2016-05-10,"No"
2016-05-11,"Yes"
2016-05-12,"Yes"
2016-05-13,"No"
2016-05-14,"No"
2016-05-15,"No"
2016-05-16,"Yes"
2016-05-17,"No"
2016-05-18,"No"
2016-05-19,"Yes"
2016-05-20,"No"
2016-05-21,"No"
2016-05-22,"Yes"
2016-05-23,"Yes"
2016-05-24,"No"
2016-05-25,"Yes"
2016-05-26,"Yes"
2016-05-27,"Yes"
2016-05-28,"No"
2016-05-29,"No"
2016-05-30,"No"
2016-05-31,"No"
2016-06-01,"No"
2016-06-02,"No"
2016-06-03,"No"
2016-06-04,"No"
2016-06-05,"Yes"
2016-06-06,"Yes"
2016-06-07,"Yes"
2016-06-08,"Yes"
2016-06-09,"Yes"
2016-06-10,"Yes"
2016-06-11,"No"
2016-06-12,"No"
2016-06-13,"No"
2016-06-14,"No"
2016-06-15,"No"
2016-06-16,"No"
2016-06-17,"No"
2016-06-18,"No"
2016-06-19,"Yes"
2016-06-20,"Yes"
2016-06-21,"Yes"
2016-06-22,"Yes"
2016-06-23,"Yes"
2016-06-24,"Yes"
2016-06-25,"No"
2016-06-26,"Yes"
2016-06-27,"No"
2016-06-28,"Yes"
2016-06-29,"Yes"
2016-06-30,"Yes"
2016-07-01,"Yes"
2016-07-02,"No"
2016-07-03,"Yes"
2016-07-04,"Yes"
2016-07-05,"Yes"
2016-07-06,"Yes"
2016-07-07,"No"
2016-07-08,"No"
2016-07-09,"Yes"
2016-07-10,"Yes"
2016-07-11,"Yes"
2016-07-12,"Yes"
2016-07-13,"Yes"
2016-07-14,"Yes"
2016-07-15,"No"
2016-07-16,"No"
2016-07-17,"No"
2016-07-18,"No"
2016-07-19,"No"
2016-07-20,"Yes"
2016-07-21,"Yes"
2016-07-22,"Yes"
2016-07-23,"No"
2016-07-24,"Yes"
2016-07-25,"Yes"
2016-07-26,"Yes"
2016-07-27,"Yes"
2016-07-28,"Yes"
2016-07-29,"Yes"
2016-07-30,"Yes"
2016-07-31,"No"
2016-08-01,"Yes"
2016-08-02,"Yes"
2016-08-03,"Yes"
2016-08-04,"No"
2016-08-05,"No"
2016-08-06,"No"
2016-08-07,"No"
2016-08-08,"No"
2016-08-09,"Yes"
2016-08-10,"Yes"
2016-08-11,"No"
2016-08-12,"Yes"
2016-08-13,"Yes"
2016-08-14,"No"
2016-08-15,"No"
2016-08-16,"Yes"
2016-08-17,"No"
2016-08-18,"Yes"
2016-08-19,"Yes"
2016-08-20,"Yes"
2016-08-21,"Yes"
2016-08-22,"No"
2016-08-23,"No"
2016-08-24,"Yes"
2016-08-25,"No"
2016-08-26,"No"
2016-08-27,"No"
2016-08-28,"No"
2016-08-29,"Yes"
2016-08-30,"Yes"
2016-08-31,"No"
2016-01-01,"No"
2016-01-02,"No"
2016-01-03,"Yes"
2016-01-04,"Yes"
2016-01-06,"No"
2016-01-07,"No"
2016-01-08,"No"
2016-01-09,"No"
2016-01-10,"No"
2016-01-11,"No"
2016-01-12,"No"
2016-01-13,"No"
2016-01-14,"No"
2016-01-15,"No"
2016-01-16,"No"
2016-01-17,"No"
2016-01-18,"No"
2016-01-19,"No"
2016-01-20,"No"
2016-01-21,"No"
2016-01-22,"No"
2016-01-23,"Yes"
2016-01-24,"No"
2016-01-25,"Yes"
2016-01-26,"No"
2016-01-27,"No"
2016-01-28,"Yes"
2016-01-29,"Yes"
2016-01-30,"Yes"
2016-01-31,"No"
2016-02-01,"No"
2016-02-02,"No"
2016-02-05,"Yes"
2016-02-06,"Yes"
2016-02-07,"No"
2016-02-08,"No"
2016-02-09,"No"
2016-02-10,"No"
2016-02-11,"No"
2016-02-12,"No"
2016-02-13,"No"
2016-02-14,"No"
2016-02-15,"No"
2016-02-16,"No"
2016-02-17,"No"
2016-02-18,"No"
2016-02-19,"Yes"
2016-02-20,"No"
2016-02-21,"No"
2016-02-22,"No"
2016-02-23,"No"
2016-02-24,"No"
2016-02-25,"No"
2016-02-26,"No"
2016-02-27,"No"
2016-02-28,"No"
2016-02-29,"No"
2016-03-01,"Yes"
2016-03-02,"Yes"
2016-03-03,"No"
2016-03-04,"No"
2016-03-05,"Yes"
2016-03-06,"Yes"
2016-03-07,"Yes"
2016-03-08,"Yes"
2016-03-09,"Yes"
2016-03-10,"Yes"
2016-03-11,"No"
2016-03-12,"Yes"
2016-03-13,"Yes"
2016-03-14,"No"
2016-03-15,"Yes"
2016-03-16,"No"
2016-03-17,"No"
2016-03-18,"Yes"
2016-03-19,"No"
2016-03-20,"No"
2016-03-21,"No"
2016-03-22,"No"
2016-03-23,"Yes"
2016-03-24,"No"
2016-03-25,"No"
2016-03-26,"Yes"
2016-03-27,"No"
2016-03-28,"No"
2016-03-29,"No"
2016-03-30,"Yes"
2016-03-31,"No"
2016-04-01,"No"
2016-04-02,"No"
2016-04-03,"No"
2016-04-04,"No"
2016-04-05,"No"
2016-04-06,"No"
2016-04-07,"No"
2016-04-08,"No"
2016-04-09,"No"
2016-04-10,"No"
2016-04-11,"No"
2016-04-12,"No"
2016-04-13,"Yes"
2016-04-14,"No"
2016-04-15,"No"
2016-04-16,"No"
2016-04-17,"No"
2016-04-18,"No"
2016-04-19,"No"
2016-04-20,"No"
2016-04-21,"Yes"
2016-04-22,"No"
2016-04-23,"No"
2016-04-24,"No"
2016-04-25,"Yes"
2016-04-26,"No"
2016-04-27,"Yes"
2016-04-28,"No"
2016-04-29,"Yes"
2016-04-30,"Yes"
2016-05-01,"Yes"
2016-05-02,"Yes"
2016-05-03,"No"
2016-05-04,"No"
2016-05-05,"No"
2016-05-06,"No"
2016-05-07,"No"
2016-05-08,"No"
2016-05-09,"No"
2016-05-10,"No"
2016-05-11,"No"
2016-05-12,"No"
2016-05-13,"No"
2016-05-14,"No"
2016-05-15,"No"
2016-05-16,"No"
2016-05-17,"No"
2016-05-18,"No"
2016-05-19,"No"
2016-05-20,"No"
2016-05-21,"No"
2016-05-22,"No"
2016-05-23,"No"
2016-05-24,"No"
2016-05-25,"No"
2016-05-26,"No"
2016-05-27,"No"
2016-05-28,"No"
2016-05-29,"No"
2016-05-30,"No"
2016-05-31,"No"
2016-06-01,"No"
2016-06-02,"Yes"
2016-06-03,"Yes"
2016-06-04,"Yes"
2016-06-05,"No"
2016-06-06,"No"
2016-06-07,"No"
2016-06-08,"No"
2016-06-09,"No"
2016-06-10,"No"
2016-06-11,"No"
2016-06-12,"Yes"
2016-06-13,"Yes"
2016-06-14,"Yes"
2016-06-15,"Yes"
2016-06-16,"No"
2016-06-17,"No"
2016-06-18,"Yes"
2016-06-19,"Yes"
2016-06-20,"No"
2016-06-21,"No"
2016-06-22,"Yes"
2016-06-23,"No"
2016-06-24,"No"
2016-06-25,"No"
2016-06-26,"No"
2016-06-27,"Yes"
2016-06-28,"No"
2016-06-29,"No"
2016-06-30,"No"
2016-07-01,"No"
2016-07-02,"No"
2016-07-03,"No"
2016-07-04,"Yes"
2016-07-05,"Yes"
2016-07-06,"No"
2016-07-07,"No"
2016-07-08,"No"
2016-07-09,"No"
2016-07-10,"No"
2016-07-11,"No"
2016-07-12,"No"
2016-07-13,"No"
2016-07-14,"No"
2016-07-15,"No"
2016-07-16,"Yes"
2016-07-17,"Yes"
2016-07-18,"No"
2016-07-19,"No"
2016-07-20,"No"
2016-07-21,"No"
2016-07-22,"No"
2016-07-23,"No"
2016-07-24,"No"
2016-07-25,"No"
2016-07-26,"No"
2016-07-27,"No"
2016-07-28,"No"
2016-07-29,"No"
2016-07-30,"No"
2016-07-31,"No"
2016-08-01,"No"
2016-08-02,"Yes"
2016-08-03,"No"
2016-08-04,"No"
2016-08-05,"No"
2016-08-06,"No"
2016-08-07,"No"
2016-08-08,"No"
2016-08-09,"No"
2016-08-10,"No"
2016-08-11,"Yes"
2016-08-12,"No"
2016-08-13,"No"
2016-08-14,"No"
2016-08-15,"No"
2016-08-16,"No"
2016-08-17,"No"
2016-08-18,"No"
2016-08-19,"No"
2016-08-20,"Yes"
2016-08-21,"No"
2016-08-22,"No"
2016-08-23,"No"
2016-08-24,"Yes"
2016-08-25,"No"
2016-08-26,"No"
2016-08-27,"No"
2016-08-28,"No"
2016-08-29,"No"
2016-08-30,"No"
2016-08-31,"No"
2016-01-01,"Yes"
2016-01-02,"No"
2016-01-03,"No"
2016-01-04,"No"
2016-01-05,"No"
2016-01-06,"No"
2016-01-07,"No"
2016-01-08,"No"
2016-01-09,"No"
2016-01-10,"Yes"
2016-01-11,"No"
2016-01-12,"No"
2016-01-13,"No"
2016-01-14,"No"
2016-01-15,"No"
2016-01-16,"Yes"
2016-01-17,"Yes"
2016-01-18,"Yes"
2016-01-19,"No"
2016-01-20,"No"
2016-01-21,"No"
2016-01-22,"No"
2016-01-23,"No"
2016-01-24,"No"
2016-01-25,"Yes"
2016-01-26,"No"
2016-01-27,"Yes"
2016-01-28,"No"
2016-01-29,"Yes"
2016-01-30,"Yes"
2016-01-31,"Yes"
2016-02-01,"No"
2016-02-02,"No"
2016-02-03,"No"
2016-02-04,"No"
2016-02-05,"Yes"
2016-02-06,"Yes"
2016-02-07,"No"
2016-02-08,"Yes"
2016-02-09,"Yes"
2016-02-10,"Yes"
2016-02-11,"No"
2016-02-12,"No"
2016-02-13,"No"
2016-02-14,"No"
2016-02-15,"No"
2016-02-16,"No"
2016-02-17,"No"
2016-02-18,"No"
2016-02-19,"No"
2016-02-20,"No"
2016-02-21,"No"
2016-02-22,"Yes"
2016-02-23,"Yes"
2016-02-24,"No"
2016-02-25,"No"
2016-02-26,"No"
2016-02-27,"No"
2016-02-28,"No"
2016-02-29,"No"
2016-03-01,"No"
2016-03-02,"Yes"
2016-03-03,"Yes"
2016-03-04,"Yes"
2016-03-05,"Yes"
2016-03-06,"No"
2016-03-07,"Yes"
2016-03-08,"No"
2016-03-09,"No"
2016-03-10,"Yes"
2016-03-11,"Yes"
2016-03-12,"No"
2016-03-13,"Yes"
2016-03-14,"No"
2016-03-15,"Yes"
2016-03-16,"No"
2016-03-17,"Yes"
2016-03-18,"No"
2016-03-19,"No"
2016-03-20,"No"
2016-03-21,"No"
2016-03-22,"No"
2016-03-23,"Yes"
2016-03-24,"Yes"
2016-03-25,"No"
2016-03-26,"No"
2016-03-27,"No"
2016-03-28,"No"
2016-03-29,"No"
2016-03-30,"No"
2016-03-31,"No"
2016-04-01,"No"
2016-04-02,"Yes"
2016-04-03,"No"
2016-04-04,"No"
2016-04-05,"No"
2016-04-06,"Yes"
2016-04-07,"Yes"
2016-04-08,"Yes"
2016-04-09,"Yes"
2016-04-10,"Yes"
2016-04-11,"No"
2016-04-12,"No"
2016-04-13,"Yes"
2016-04-14,"No"
2016-04-15,"Yes"
2016-04-16,"Yes"
2016-04-17,"No"
2016-04-18,"No"
2016-04-19,"No"
2016-04-20,"Yes"
2016-04-21,"Yes"
2016-04-22,"No"
2016-04-23,"No"
2016-04-24,"Yes"
2016-04-25,"Yes"
2016-04-26,"Yes"
2016-04-27,"No"
2016-04-28,"No"
2016-04-29,"Yes"
2016-05-02,"Yes"
2016-05-08,"Yes"
2016-05-09,"No"
2016-05-10,"No"
2016-05-11,"No"
2016-05-12,"No"
2016-05-13,"No"
2016-05-14,"Yes"
2016-05-15,"No"
2016-05-16,"Yes"
2016-05-17,"No"
2016-05-18,"No"
2016-05-22,"Yes"
2016-05-23,"Yes"
2016-05-24,"No"
2016-05-25,"No"
2016-05-26,"No"
2016-05-27,"No"
2016-05-28,"No"
2016-05-29,"No"
2016-05-30,"No"
2016-05-31,"No"
2016-06-01,"No"
2016-06-02,"No"
2016-06-03,"No"
2016-06-04,"No"
2016-06-05,"No"
2016-06-06,"No"
2016-06-07,"No"
2016-06-08,"No"
2016-06-09,"No"
2016-06-10,"No"
2016-06-11,"No"
2016-06-12,"Yes"
2016-06-13,"Yes"
2016-06-14,"Yes"
2016-06-15,"Yes"
2016-06-16,"Yes"
2016-06-17,"No"
2016-06-18,"Yes"
2016-06-19,"No"
2016-06-20,"No"
2016-06-21,"No"
2016-06-22,"No"
2016-06-23,"No"
2016-06-24,"No"
2016-06-25,"Yes"
2016-06-26,"Yes"
2016-06-27,"Yes"
2016-06-28,"No"
2016-06-29,"No"
2016-06-30,"No"
2016-07-01,"Yes"
2016-07-02,"Yes"
2016-07-03,"No"
2016-07-04,"No"
2016-07-05,"No"
2016-07-06,"No"
2016-07-07,"No"
2016-07-08,"No"
2016-07-09,"No"
2016-07-10,"No"
2016-07-11,"No"
2016-07-12,"No"
2016-07-13,"Yes"
2016-07-14,"Yes"
2016-07-15,"No"
2016-07-16,"No"
